Gene,Obs_Alleles_EBOV,Total_Alleles_EBOV,Individuals_EBOV,Obs_Alleles_LASV,Total_Alleles_LASV,Individuals_LASV,Obs_Alleles_CTRL,Total_Alleles_CTRL,Individuals_CTRL
HLA-A,20.0,100.0,50.0,27.0,252.0,126.0,27.0,278.0,139.0
HLA-B,27.0,100.0,50.0,37.0,252.0,126.0,40.0,276.0,138.0
HLA-C,19.0,100.0,50.0,30.0,252.0,126.0,25.0,278.0,139.0
HLA-DPA1,11.0,94.0,47.0,17.0,234.0,117.0,17.0,276.0,138.0
HLA-DPB1,16.0,100.0,50.0,28.0,252.0,126.0,33.0,277.0,139.0
HLA-DQA1,11.0,100.0,50.0,13.0,252.0,126.0,16.0,278.0,139.0
HLA-DQB1,17.0,100.0,50.0,18.0,249.0,125.0,18.0,277.0,139.0
HLA-DRB1,22.0,100.0,50.0,27.0,252.0,126.0,28.0,277.0,139.0
HLA-DRB3,4.0,81.0,44.0,7.0,161.0,100.0,9.0,188.0,115.0
HLA-DRB4,3.0,14.0,9.0,3.0,58.0,42.0,4.0,72.0,54.0
HLA-DRB5,2.0,3.0,3.0,4.0,23.0,21.0,3.0,13.0,12.0
